Reviewer Name,Stars,Review Title,Review,Review Date,Verified Purchase,Helpful Votes
Unknown,Unknown,Unknown,Unknown,Unknown,No,0
Unknown,Unknown,Unknown,Unknown,Unknown,No,0
Unknown,4.5 out of 5 stars,Unknown,Unknown,Unknown,No,0
Unknown,4.5 out of 5 stars,Unknown,Unknown,Unknown,No,0
Unknown,Unknown,Unknown,Unknown,Unknown,No,0
Ankit Mehta,5.0 out of 5 stars,Unknown,Unknown,Unknown,No,0
Ankit Mehta,5.0 out of 5 stars,Unknown,Unknown,Unknown,No,0
Unknown,Unknown,Unknown,Unknown,Unknown,No,0
Unknown,Unknown,Unknown,Unknown,Unknown,No,0
Akhilesh,1.0 out of 5 stars,"1.0 out of 5 stars
Mobile getting heat",Its getting heat and camera clarity is not good.Just bought this iPhone 15 on 6 days back.Don’t sell like this and don’t cheat customers please,Reviewed in India on 14 February 2025,Verified Purchase,One person found this helpful
Akhilesh,1.0 out of 5 stars,"1.0 out of 5 stars
Mobile getting heat",Its getting heat and camera clarity is not good.Just bought this iPhone 15 on 6 days back.Don’t sell like this and don’t cheat customers please,Reviewed in India on 14 February 2025,Verified Purchase,0
Neeraj Choudhary,1.0 out of 5 stars,"1.0 out of 5 stars
Scratched mob",This is worst buy person who send this not let me open the box and i found scratches when I opened that,Reviewed in India on 13 February 2025,Verified Purchase,0
Rajesh shukla,5.0 out of 5 stars,"5.0 out of 5 stars
Dual e sim","Dual e sim is a good option. However, inspite of repeated efforts the banks (HDFC/SBI) have not recognised these sims yet and I am not able to transact online.But for the above, it’s a big thumbs up for the phone. It’s light & fast. I am told once the banks are connected, it’s very secure transacting online",Reviewed in India on 13 February 2025,Verified Purchase,0
karan chugh,1.0 out of 5 stars,"1.0 out of 5 stars
bad experience",bad,Reviewed in India on 12 February 2025,Verified Purchase,0
Sandeep,5.0 out of 5 stars,"5.0 out of 5 stars
Nice phone",Nice phone,Reviewed in India on 12 February 2025,Verified Purchase,0
S M,1.0 out of 5 stars,"1.0 out of 5 stars
Quality is not all good",Quality not at all good,Reviewed in India on 12 February 2025,Verified Purchase,0
ADNAN MD,1.0 out of 5 stars,"1.0 out of 5 stars
Good","Camera is good, charging is superfast, perfomance also nice, Overall perfect.",Reviewed in India on 11 February 2025,Verified Purchase,0
Pradeep,4.0 out of 5 stars,"4.0 out of 5 stars
Camera",Good phoneBut camera is not good.,Reviewed in India on 10 February 2025,Verified Purchase,0
RUHUL AMIN,1.0 out of 5 stars,"1.0 out of 5 stars
Worst product by apple",iPhone 15 worst display.. it’s js 3 days but I got more than 10 scratches… it’s js visible in sunlight.. at first I thought the scratches are in the temper glass but when I removed it I got shocked.. the glasss was totally ok but display 😢😢😢.. I changed the protective glass but next day it happened the same,Reviewed in India on 10 February 2025,Verified Purchase,One person found this helpful
Pawan kumar,5.0 out of 5 stars,"5.0 out of 5 stars
good",nice,Reviewed in India on 9 February 2025,Verified Purchase,0
Unknown,Unknown,Unknown,Unknown,Unknown,No,0
Unknown,Unknown,Unknown,Unknown,Unknown,No,0
Unknown,Unknown,Unknown,Unknown,Unknown,No,0
Unknown,Unknown,Unknown,Unknown,Unknown,No,0
Unknown,Unknown,Unknown,Unknown,Unknown,No,0
Unknown,4.5 out of 5 stars,Unknown,Unknown,Unknown,No,0
Unknown,4.5 out of 5 stars,Unknown,Unknown,Unknown,No,0
Unknown,Unknown,Unknown,Unknown,Unknown,No,0
Ankit Mehta,5.0 out of 5 stars,Unknown,Unknown,Unknown,No,0
Ankit Mehta,5.0 out of 5 stars,Unknown,Unknown,Unknown,No,0
